ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
7243,"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",78,13.2,0.5,5.1,927,0.225,30,3.8,20,1.95,467,0,,
7244,"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",193,10.7,14.9,4.1,1079,6.32,49,2.1,21,1.56,401,0,,
7245,"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",318,12,28.7,2.8,1143,10.025,74,1.8,164,1.48,131,0,,
7246,"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",73,12.6,0.6,4.3,974,0.2,29,2.1,15,0.92,471,0,,
7247,"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",194,12.1,14.9,2.8,1036,5.199,62,1.5,38,1.28,397,0,,
7248,"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",311,10.9,28.7,2.3,1039,11.15,55,1.6,13,1.02,159,0,,
7249,"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",98,19.7,0.5,3.7,1142,0.162,52,0.7,8,1.28,291,0,,
7250,"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",101,18.3,2,2.5,1188,0.541,49,1.5,7,1.15,265,0,,
7251,"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",128,17,5.6,2.3,1196,1.452,59,1,17,1.58,302,0,,
7252,"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",201,12.7,14.5,5.1,1070,5.19,94,1.7,243,2.11,158,0,,
7253,"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",188,11.2,13.5,5.3,1136,3.839,92,1.5,131,2.18,160,0,,
7254,LOUIS RICH  TURKEY BACON,250,15.1,20.3,1.7,1213,5.27,90,1.8,40,1.45,208,0,,
7255,"LOUIS RICH,TURKEY BOLOGNA",184,11.3,13.2,4.85,1077,3.79,67,1.2,124,1.64,152,0,,
7256,"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",99,17.1,2,3.25,966,0.468,41,0.8,6,0.99,222,0,,
7257,"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",100,17.6,2.3,2.4,919,0.63,42,1.1,9,0.75,262,0,,
7258,"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",102,19.3,0.8,4.5,1180,0.234,40,3.9,15,1.11,262,0,,
7259,"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",84,15,0.7,4.5,1192,0.205,32,1.7,11,1.11,205,0,,
7260,"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",90,19.1,0.7,1.9,1177,0.207,40,0.4,17,1.11,268,0,,
7261,"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",94,19.7,1,1.6,1201,0.3,43,0.3,15,1.47,312,0,,
7262,"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",93,19.3,0.8,2.2,1288,0.234,41,0.6,16,1.12,288,0,,
7264,"LOUIS RICH,TURKEY HAM (10% H2O)",113,18.2,4.1,0.9,1127,1.06,67,0.9,5,1.27,290,0,,
7265,"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",276,14.3,17.5,15.4,679,3.39,40,0,9,0.87,176,0,,
7266,"LOUIS RICH,TURKEY SALAMI",147,15.3,9.4,0.4,1004,2.783,76,0.4,40,1.25,216,0,,
7267,"LOUIS RICH,TURKEY SALAMI COTTO",149,15,9.5,0.9,1018,2.9,77,0.4,31,1.64,220,0,,
7268,"LOUIS RICH,TURKEY SMOKED SAUSAGE",161,14.8,9.9,3.15,946,2.67,66,2.8,26,1.38,201,0,,
7269,"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",239,13.45,18.17,4.66,1162,5.86,104,2.49,148,1.83,189,0.8,,0.3
7270,"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",142,19.3,6.8,1,1342,2.8,65,,17,2.4,352,,,
7271,"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",165,17.9,10.1,0.7,954,2.6,53,,124,1.56,256,,,
7272,"CARL BUDDIG,SMOKED SLICED BF",139,19.3,6.5,0.6,1431,2.6,67,,14,2.26,336,,,
7273,"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",160,17.5,9.1,1.8,1096,3.1,57,,60,1.84,329,,,
7274,"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",141,19.6,6.5,1,1056,3,65,,17,2.45,365,,,
7275,"CARL BUDDIG,SMOKED SLICED HAM",163,18.5,9.3,1.1,1381,3.1,55,,16,2.03,340,,,
7276,HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,310,13.24,27.24,3.03,1369,9.88,70,,14,0.9,229,0.9,,
7277,"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",191,15.23,13.9,1.35,1032,4.49,75,1.26,39,1.4,461,38.5,,
7278,HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,243,30.99,11.52,3.78,1858,3.7,123,0,26,2.7,449,0,,
7279,HORMEL WRANGLER BEEF FRANKS,290,12.58,25.69,2.11,994,10.62,67,1.67,14,1.8,172,19.9,,
7900,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",101,8,2.5,11.54,796,0.85,21,0,10,2.2,243,1.9,0.09,0.1
7901,"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",267,19.76,20.26,0,540,5.532,98,,9,1.15,239,0,,
7905,"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",109,12.5,1.59,11.21,880,0.5,41,0,54,1.78,220,24,0,0.1
7906,"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",293,12.5,25.1,3.4,946,8.873,76,0,0,0.64,564,43,0.24,0.6
7907,"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",231,14.95,18.56,0,507,4.968,73,,9,0.99,231,0,,
7908,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",315,13.4,26.6,4.6,1330,9.987,71,0,0,0.64,409,0,0.42,0.6
7909,"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196,15.23,13.9,1.35,1032,4.514,75,1.26,39,1.4,461,38.5,0.24,0.6
7910,BRATWURST  VEAL  CKD,341,13.99,31.7,0,60,14.94,79,0,11,0.74,231,0,,
7911,LIVERWURST SPRD,305,12.38,25.45,5.89,700,9.925,118,1.65,22,8.85,170,3.5,,
7912,ROAST BF SPRD,223,15.27,16.28,3.73,724,6.4,70,0.71,23,2.06,259,0.2,,
7913,SALAMI  PORK  BF  LESS NA,396,15.01,30.5,15.38,623,10.58,90,6.21,94,1.55,1372,0.7,,0.8
7914,SAUSAGE  ITALIAN  SWT  LINKS,149,16.13,8.42,2.1,570,3.257,30,0,25,1.19,194,0.2,,
7915,SAUSAGE  POLISH  BF W/ CHICK  HOT,259,17.6,19.4,3.6,1540,8.01,66,0,12,0.88,237,0,,
7916,SAUSAGE  POLISH  PORK & BF  SMOKED,301,12.07,26.56,1.98,848,9.207,71,0,7,1,189,0,,1.1
7917,SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,296,12.89,25.84,2.13,848,9.482,63,0.11,57,0.73,206,0,,0.3
7918,SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,426,19.43,37.91,1.82,1483,10.47,89,0.12,81,2.26,206,0,,0.3
7919,SAUSAGE  TURKEY  BRKFST LINKS  MILD,235,15.42,18.09,1.56,585,3.839,160,0,32,1.07,229,0.5,0.19,0.4
7920,SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,307,12.69,27.37,1.6,827,,61,0,74,0.72,206,0,,
7921,BACON & BF STKS,517,29.1,44.2,0.8,1420,16,102,0.8,14,1.86,385,0,,
7922,BRATWURST  BF & PORK  SMOKED,297,12.2,26.34,2,848,6.08,78,0,7,1,283,0,,
7923,"BRATWURST,CHICK,CKD",176,19.44,10.35,0,72,,71,0,11,0.87,211,2,,
7924,BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,186,14.45,13.53,1.62,982,,56,1.57,14,0.94,246,0,,
7925,PASTRAMI  BF  98% FAT-FREE,95,19.6,1.16,1.54,1010,0,47,0,9,2.78,228,34.6,,
7926,SALAMI  ITALIAN  PORK,425,21.7,37,1.2,1890,13.1,80,1.2,10,1.52,340,0,,
7927,SAUSAGE  ITALIAN  TURKEY  SMOKED,158,15.05,8.75,4.65,928,3.401,53,3.2,21,9.6,197,30.4,,
7928,SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216,13.6,14.3,8.1,1034,4.8,120,1.9,100,4.8,246,0,,
7929,SAUSAGE  TURKEY  HOT  SMOKED,158,15.05,8.75,4.65,928,3.77,53,3.2,21,9.6,197,30.4,0.09,0.2
7930,"YACHTWURST,W/ PISTACHIO NUTS,CKD",268,14.8,22.6,1.4,936,7.9,64,0,19,1,,0,,
7931,BEERWURST  PORK & BF,276,14,22.53,4.27,732,8.438,62,0,27,1.73,244,0.6,,
7932,CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,80,16.8,0.39,2.25,1040,0.13,36,0.2,4,0.3,316,0,,
7933,CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,79,16.79,0.39,2.17,1087,0.13,36,0.1,6,0.32,67,0,,
7934,"KIELBASA,POLISH,TURKEY & BF,SMOKED",226,13.1,17.6,3.9,1200,6.23,70,0,,1.24,,14.8,,
7935,OVEN-ROASTED CHICK BREAST ROLL,134,14.59,7.65,1.79,883,2.48,39,0.43,6,0.32,324,0,0.07,
7936,BOLOGNA  PORK & TURKEY  LITE,211,13.06,16.06,3.45,716,5.46,79,0,48,1.15,138,0,,
7937,BOLOGNA  PORK  TURKEY & BF,336,11.56,29.25,6.66,1055,11.7,75,1.35,31,1.2,222,11,0,
7938,HAM  HONEY  SMOKED  CKD,122,17.93,2.37,7.27,900,1.167,22,0,6,0.39,165,0.6,,
7939,"FRANKFURTER,PORK",269,12.81,23.68,0.28,816,8.719,66,0,267,3.7,264,2,,
7940,MACARONI & CHS LOAF  CHICK  PORK & BF,228,11.76,14.96,11.63,3,5.614,44,0,122,1.2,313,16.7,,
7941,SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,350,21.8,26.4,6.4,936,9.75,89,0,8,1.51,378,0,,
7942,PATE  TRUFFLE FLAVOR,327,11.2,28.5,6.3,807,10.1,105,,70,3.94,138,2,,
7943,"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",95,20.9,0.69,1.31,1160,0.22,48,0,,,,,,
7944,TURKEY  WHITE  ROTISSERIE  DELI CUT,112,13.5,3,7.7,1200,0.118,55,4,16,2.2,349,10,,
7945,FRANKFURTER  BF  HTD,322,11.69,29.36,2.66,852,11.593,58,1.27,11,1.22,252,,0.2,
7949,FRANKFURTER  MEAT  HTD,278,9.77,24.31,4.9,1013,7.22,73,,99,1.22,141,0,0.18,
7950,FRANKFURTER  MEAT,290,10.26,25.76,4.17,1090,7.666,77,,99,1.09,152,0,0.19,
7951,"SCRAPPLE,PORK",213,8.06,13.87,14.06,659,4.732,49,0.2,7,1.89,158,2.5,0.15,0.3
7952,"BOLOGNA,CHICK,TURKEY,PORK",298,9.88,26.18,5.65,922,7.99,80,0,82,1.16,152,19.7,0.41,
7953,"PORK SAUSAGE,PRE-COOKED",378,14.49,35.04,0,752,11.662,74,0,137,0.92,307,0.7,0.53,0.8
7954,"BEEF SAUSAGE,PRE-COOKED",405,15.5,37.57,0.03,910,15.098,83,0,15,1.53,234,0.7,0.49,0.6
7955,"TURKEY SAUSAGE,FRSH,RAW",155,18.79,8.08,0.47,593,1.963,75,0,19,1.17,262,2.3,0.13,
7956,"BEEF SAUSAGE,FRSH,CKD",332,18.21,27.98,0.35,652,10.905,82,0,11,1.57,258,0,0.24,0.5
7957,"PORK & TURKEY SAUSAGE,PRE-COOKED",342,12.05,30.64,3.63,876,9.881,72,0,74,1.3,230,0.7,0.52,
7958,"TURKEY SAUSAGE,FRSH,CKD",196,23.89,10.44,0,665,2.266,92,0,22,1.49,298,0.7,0.18,
7959,"BOLOGNA,CHICK,PORK,BF",272,11.33,22.73,5.61,1120,6.997,83,0,92,1.25,313,15.8,0.25,
7960,"BOLOGNA,CHICK,PORK",336,10.31,30.61,4.19,1240,9.863,87,0,196,1.12,162,13.2,0.64,
8001,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",260,13.14,4.9,74.24,258,0.64,0,15.69,389,17.6,1020,20,1.24,4.3
8002,"CEREALS RTE,POST,ALPHA-BITS",385,8.1,3.8,83.7,634,0.9,0,35.5,29,6.4,217,21,0.24,7.2
8003,"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",366,5,1.9,88.2,459,0.357,0,44,11,16.1,116,54,0.16,3.6
8005,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",250,7,2.15,80,676,0.4,0,27,63,15,1000,20,0.72,3.3
8010,"CEREALS RTE,QUAKER,CAP'N CRUNCH",398,4.39,5.12,85.51,754,3.346,0,44.32,11,19.42,186,0,0.62,0
8011,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",397,4.45,4.83,85.9,725,3.076,0,44.2,11,19.88,187,0.1,0.63,0
8012,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",417,7.1,9.23,78.65,742,4.05,0,33.36,9,18.36,236,0,0.68,0
8013,"CEREALS RTE,GENERAL MILLS,CHEERIOS",367,11.33,5.9,74.68,571,0.954,0,4.02,408,31.77,609,24.4,0.68,3.6
8014,"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",389,5.22,2.9,86.05,424,1.99,0,38.5,130,22.2,197,49,10.8,4.1
8015,"CEREALS RTE,POST,COCOA PEBBLES",397,4.7,4.2,85.8,633,3.7,0,37.2,21,6,177,0,0.13,8.3
8017,"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",385,3.85,3.85,84.62,577,0.592,0,38.46,385,17.31,192,23.1,0.88,3.9
8018,"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",331,6.37,4.06,83.68,868,2.03,0,20.66,71,30.98,238,0,0.67,0
8019,"CEREALS RTE,GENERAL MILLS CORN CHEX",387,6.45,1.61,83.87,774,0.39,0,9.68,323,26.13,194,19.4,0.25,3.3
8020,"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",365,6.61,0.59,87.11,723,0.172,0,10.5,7,29,90,22,0.13,3.8
8022,"CEREALS RTE,CORN FLAKES,LO NA",399,7.7,0.3,88.8,10,0.041,0,6.11,43,2.22,73,0,0.14,3.6
8023,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",402,8,13.9,71.8,309,6.1,0,31.5,60,3.7,450,31,0.56,2
8025,"CEREALS RTE,RALSTON CRISPY RICE",364,6.69,1.26,86.22,763,0.36,0,7.65,5,32.73,110,64.5,0.06,3
8028,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",318,10,2,79,715,0.4,0,17,52,62,590,207,46.35,3.5
8029,"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",320,9.4,2.2,80.4,732,0.4,0,18.9,56,27,616,0,0.85,3.3
8030,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",372,5,3.3,86.7,458,1.8,0,42.7,12,15.5,117,52,0.2,3.5
8031,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",343,9,1.6,82,10,0.36,0,21,33,32,352,0,0,0
8032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",382,4.3,0.4,90.9,371,0.1,0,39.8,7,18.9,59,50,11.25,4.2
8034,"CEREALS RTE,POST,FRUITY PEBBLES",400,4.3,4,86.2,630,3.6,0,38,17,6,67,20,0.13,8.3
8035,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",387,6.45,3.23,83.87,774,0.323,0,32.26,323,14.52,194,19.4,0.73,3.2
8037,"CEREALS RTE,GRANOLA,HOMEMADE",489,14.85,24.06,53.25,25,4.058,0,20,78,4.23,540,1.2,11.11,0
8038,"CEREALS RTE,POST,GRAPE-NUTS CRL",359,12.48,1.85,80.1,507,0.305,0,12.61,39,38.06,400,0,0.64,1.7
8039,"CEREALS RTE,POST,GRAPE-NUTS FLAKES",369,9.5,3.7,81.9,431,0.5,0,15.1,40,28,340,0,0.81,3.5
8045,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",393,7.14,5.36,78.57,571,0,0,32.14,357,16.07,411,21.4,0.96,3.6
8046,"CEREALS RTE,POST,HONEYCOMB CRL",396,6.2,3,87.4,541,1.3,0,32.4,16,8.4,156,0,0.17,7.8
8047,"CEREALS RTE,QUAKER,KING VITAMAN",381,6.41,3.44,83.85,825,1.584,0,20.27,10,29,268,40,4.55,0
8048,"CEREALS RTE,GENERAL MILLS,KIX",367,7.69,3.46,82.82,633,0.576,0,9.76,570,32,200,25.4,0.25,3.3
8049,"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",374,9.97,4.42,77.69,513,0.833,0,19.43,318,28.69,283,0,0.61,0
8050,"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",407,7.41,3.7,81.48,630,0.615,0,37.04,370,16.67,185,22.2,0.27,3.7
8053,"CEREALS RTE,POST,100% BRAN CRL",287,12.7,2.1,78.2,417,0.3,0,24.4,76,27.93,947,0,2.32,0
8054,"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",421,10.55,11.62,73.65,50,1.265,2,20.34,109,2.81,483,0.2,1.3,0
8057,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",375,6.25,3.13,87.5,625,0.529,0,28.13,313,14.06,156,18.8,0.56,3.1
8058,"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",333,7.7,1.4,83,690,0.3,0,13.3,16,60.3,167,204,45,3.3
8059,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",406,4.51,6.08,85.03,740,4.442,0,43.36,9,18.35,187,0,0.73,0
8060,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",314,8.59,2.19,77.36,425,0.353,0,29.9,47,12.77,567,0,0.54,1.7
8061,"CEREALS RTE,POST RAISIN BRAN CRL",320,8,1.7,78.1,424,0.314,0,32.1,52,18.3,539,0.8,0.59,1.7
8064,"CEREALS RTE,GENERAL MILLS,RICE CHEX",370,7.41,1,85.19,889,0.22,0,7.41,370,33.33,167,22.2,0.65,3.7
8065,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381,6.84,0.96,85.24,561,0.216,0,10.9,7,34.4,88,47,10.35,3.8
8066,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",383,7.01,0.9,87.78,5,0.325,0,0,9,2.86,116,0,0.1,0
8067,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",365,18.3,1.6,74.1,658,0.4,0,12.1,25,28,66,68,15.3,0
8068,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",389,4.6,1.3,90.4,387,0.4,0,32.1,11,5.6,148,19,0.08,4
8069,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",367,4.34,0.26,90.86,462,0.069,0,38.72,3,23.41,73,26.7,0.09,3.2
8071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",386,6.4,1.8,89,186,0.3,0,56,24,1.3,151,22.6,0.32,3.7
8073,"CEREALS RTE,POST,GOLDEN CRISP",390,5.8,1.3,90.7,94,0.2,0,50.9,15,6.7,176,0,0.18,7.4
8074,"CEREALS RTE,RALSTON TASTEEOS",398,11.83,5.97,74.22,853,1.023,0,4.64,357,30,307,14.9,0.43,3.3
8076,"CEREALS RTE,POST TOASTIES CORN FLAKES",360,6.7,0.1,86.7,714,0,0,6.5,3,19.29,117,0,0.25,3.6
8077,"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",333,6.67,1.67,76.67,633,0.406,0,16.67,3333,60,300,200,45,8.3
8078,"CEREALS RTE,GENERAL MILLS,TRIX",375,3.13,4.69,84.38,563,0.67,0,31.25,313,14.06,156,18.8,1.19,3.1
8079,"CEREALS RTE,WAFFELOS",405,5.6,4.2,86.3,416,,0,,28,15.9,88,53,,
8081,"CEREALS RTE,POST,HONEY NUT SHREDDED WHEAT",374,8.4,2.9,83.6,102,0.4,0,20.7,38,28,349,0,1.2,0
8082,"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",340,10.64,2.13,82.98,638,0.328,0,10.64,213,30.64,362,12.8,0.77,2.1
8083,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",394,4,0.34,93.7,871,0.165,1,43.6,5,6.56,59,60.5,0.1,3.5
8084,"CEREALS RTE,WHEAT GERM,TSTD,PLN",382,29.1,10.7,49.6,4,1.83,0,7.8,45,9.09,947,6,15.99,0
8085,"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",372,26.55,7.78,58.11,11,1.36,0,24.85,50,8.05,964,0,20.22,0
8086,"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",438,6.25,10.94,77.55,719,0.592,0,34.38,313,14.06,141,18.8,1.92,3.1
8087,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",379,6.9,3.45,79.31,552,0.531,0,20.69,345,62.07,293,51.7,16.29,3.5
8089,"CEREALS RTE,GENERAL MILLS,WHEATIES",370,9.4,1.8,82.6,704,0.5,0,13.5,74,30,333,22.2,1.18,3.7
8090,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",370,7.65,1.75,79.09,1,0.34,0,0.57,4,3.05,141,0,0.21,0
8091,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",71,1.71,0.46,14.76,2,0.066,0,0.12,1,0.57,27,0,0.03,0
8092,"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",359,7.31,2.14,76.02,1050,0.362,0,1.51,378,38.75,163,0,0.05,0
8093,"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP,WO/ SALT",76,1.58,0.49,15.95,188,0.076,,0.1,64,6.71,34,0,0.01,
8094,"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",366,8.37,5.97,73.08,1679,1.76,2,2.13,46,28.93,170,0,0.4,0
8096,"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",349,9.85,1.65,77.35,1219,0.24,0,0.27,38,28.93,252,0,,
8100,"CEREALS,CRM OF RICE,DRY",370,6.3,0.5,82.4,6,0.136,0,0.12,24,1.3,143,0,0.11,0
8101,"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",52,0.9,0.1,11.4,1,0.027,0,0.02,3,0.2,20,0,0.02,0
8102,"CEREALS,CRM OF WHEAT,REG,10 MINUTE COOKING,DRY",370,10.5,1.5,76.5,7,0.238,0,0.2,606,28.6,120,0,0.11,0
8103,"CEREALS,CRM OF WHEAT,REG (10 MINUTE),CKD W/ H2O,WO/ SALT",50,1.44,0.21,10.52,6,0.033,0,0.03,87,3.74,16,0,0.02,0
8104,"CEREALS,FARINA,ENR,ASSORTED BRANDS,DRY",360,11.6,1.41,73.19,124,0.232,0,0.56,711,33.39,153,0,0.33,0
8105,"CEREALS,FARINA,ENR,ASSORTED BRANDS,QUICK,CKD W/ H2O,WO/ SALT",55,1.82,0.34,10.92,18,0.066,0,0.76,97,5.33,23,0,0.04,
8106,"CEREALS,CREAM OF WHEAT,INST,DRY",366,10.6,1.4,75.5,15,0.222,0,0.4,357,28.6,115,0,0.11,0
8107,"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",62,1.84,0.24,13.08,4,0.038,0,0.07,64,4.96,20,0,0.02,
8108,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",361,9.7,1.2,75.6,850,0.203,0,,71,28.6,135,0,,
8109,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",72,1.9,0.2,15.1,170,0.034,0,,14,5.7,27,0,,
8110,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",373,6.9,1.1,81.6,680,,0,,113,22.9,155,0,,
8111,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",88,1.6,0.3,19.3,161,0.044,0,,27,5.4,37,0,,
8113,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",53,1.82,0.34,10.92,18,0.066,0,0.76,97,5.33,23,0,0.04,0
8114,"CEREALS,MALTEX,DRY",352,11.2,2.1,77.3,17,0.321,0,0.66,36,3.5,521,0,2.19,0
8115,"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",76,2.29,0.43,15.81,5,0.069,0,0.13,9,0.72,107,0,0.45,
8116,"CEREALS,MALT-O-MEAL,PLN,DRY",361,11.8,1.27,75.6,10,0.299,1,1.1,508,55.7,170,1,,
8118,"CEREALS,MAYPO,DRY",385,13.2,5.3,72,19,0.686,0,34.05,282,19,478,64,0.38,
8119,"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",71,2.4,1,13.3,4,0.175,0,6.26,52,3.5,88,12,0.07,0
8120,"CEREALS,OATS,REG & QUICK,NOT FORT,DRY",379,13.15,6.52,67.7,6,1.11,0,0.99,52,4.25,362,0,0.42,0
8121,"CEREALS,OATS,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",71,2.54,1.52,12,4,0.31,0,0.27,9,0.9,70,0,0.08,0
8122,"CEREALS,OATS,INST,FORT,PLN,DRY",375,12.72,6.25,67.55,278,1.537,0,1.51,352,29.27,359,0,0.47,0
8123,"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",68,2.37,1.36,11.67,49,0.267,0,0.46,80,5.96,61,0,0.07,0
8124,"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",365,8.93,4.78,75.96,453,0.894,0,25.91,300,11,333,,0.43,0
8128,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",370,8.59,4.67,76.97,482,0.808,0,33.7,239,8.6,251,0.1,0.42,0
8129,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",107,2.4,1.31,21.52,135,0.226,0,9.42,69,2.41,70,0,0.12,0
8130,"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",365,9.92,5.36,73.28,599,0.999,0,21.44,246,8.96,286,0,0.44,0
8132,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",360,7.76,4.27,76.31,485,0.8,0,36.31,256,9.2,361,0.7,0.42,0
8133,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",100,2.07,1.14,20.32,151,0.198,0,9.67,70,2.45,96,0.2,0.11,0
8134,"CEREALS,RALSTON,DRY",341,14.1,2.1,72.1,11,,0,,35,4.2,392,0,,
8135,"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",53,2.2,0.3,11.2,2,0.052,0,,5,0.65,61,0,,
